minute_of_day,baseline,delay_p3_peak,redistribute,v2g
915,176079.74204112403,204575.68397151746,176079.74204112403,176079.74204112403
920,176066.0317904252,204215.70182706145,176066.0317904252,176066.0317904252
925,173463.3602388983,204564.1055044179,173463.3602388983,173463.3602388983
930,177266.43408595386,204570.11385467034,177266.43408595386,177266.43408595386
935,176284.34272159,204555.67584998242,176284.34272159,176284.34272159
940,171410.75804310627,204218.53442129644,171410.75804310627,171410.75804310627
945,176703.45666337147,204551.82015959342,176703.45666337147,176703.45666337147
950,175909.9846945896,204561.73745094214,175909.9846945896,175909.9846945896
955,172371.67798445668,204369.10981221995,172371.67798445668,172371.67798445668
960,178547.52742176887,204213.91176519345,178547.52742176887,178547.52742176887
965,177780.90392341063,204572.00516585924,177780.90392341063,177780.90392341063
970,174846.3254067372,204328.69684527226,174846.3254067372,174846.3254067372
975,178716.4841387801,204210.2001142194,178716.4841387801,178716.4841387801
980,176199.7270388451,204560.52086008893,176199.7270388451,176199.7270388451
985,174414.245773333,204373.952055948,174414.245773333,174414.245773333
990,178633.18696271963,204549.0904117564,178633.18696271963,178633.18696271963
995,177996.98203387862,204568.5857506921,177996.98203387862,177996.98203387862
1000,173432.64793316222,204577.03350245644,173432.64793316222,173432.64793316222
1005,176136.33122943164,204553.4620518837,176136.33122943164,176136.33122943164
1010,174502.58867539818,204353.39187982096,174502.58867539818,174502.58867539818
1015,172073.35595250715,204571.66496618715,172073.35595250715,172073.35595250715
1020,174362.62832313735,68506.3763713098,174362.62832313735,174362.62832313735
1025,175639.36521395925,67780.87591398989,175639.36521395925,175639.36521395925
1030,173350.3968801381,67475.19287453605,173350.3968801381,173350.3968801381
1035,173223.97296725592,67575.1342302532,173223.97296725592,173223.97296725592
1040,175557.3474945613,66600.33129393736,175557.3474945613,175557.3474945613
1045,174942.54185944927,66974.33956505262,174942.54185944927,174942.54185944927
1050,175437.77979131008,67721.71674935761,175437.77979131008,175437.77979131008
1055,175617.6772191686,67783.03061242792,175617.6772191686,175617.6772191686
1060,173206.26341714986,67528.34050243872,173206.26341714986,173206.26341714986
1065,173086.05944519112,67845.56600870832,173086.05944519112,173086.05944519112
1070,174746.1199021362,67918.60917235103,174746.1199021362,174746.1199021362
1075,173331.01891332425,68214.29648092242,173331.01891332425,173331.01891332425
1080,173570.95954772353,68874.35339778555,173570.95954772353,173570.95954772353
1085,176219.1533372899,68774.35178213181,176219.1533372899,176219.1533372899
1090,173169.99498884933,69214.06164979303,173169.99498884933,173169.99498884933
1095,174200.33720053732,69821.6334952699,174200.33720053732,174200.33720053732
