,Private car_P1_workday,Private car_P2_workday,Private car_P3_workday,Taxi_P1_workday,Taxi_P2_workday,Taxi_P3_workday,Official car_P1_workday,Official car_P2_workday,Official car_P3_workday,Rental car_P1_workday,Rental car_P2_workday,Rental car_P3_workday,Bus_P1_workday,Bus_P2_workday,Bus_P3_workday,SPV_P1_workday,SPV_P2_workday,SPV_P3_workday,Private car_P1_weekend & holiday,Private car_P2_weekend & holiday,Private car_P3_weekend & holiday,Taxi_P1_weekend & holiday,Taxi_P2_weekend & holiday,Taxi_P3_weekend & holiday,Official car_P1_weekend & holiday,Official car_P2_weekend & holiday,Official car_P3_weekend & holiday,Rental car_P1_weekend & holiday,Rental car_P2_weekend & holiday,Rental car_P3_weekend & holiday,Bus_P1_weekend & holiday,Bus_P2_weekend & holiday,Bus_P3_weekend & holiday,SPV_P1_weekend & holiday,SPV_P2_weekend & holiday,SPV_P3_weekend & holiday
20,3329.9105999421754,10636.110952684561,2760.084585811772,202.30048573423517,2363.5421568812294,696.6622739524553,493.61978269736215,2875.1138337090274,4133.76237443602,140.66615104692227,629.2501105450241,3942.057199200762,11109.337890625276,8591.508664032162,4919.223274437316,468.5519830383812,4874.648484677447,647.8301508354418,3699.9106058968923,11942.285069203037,3865.510715375699,227.77503179758787,2456.017716892995,934.7303354293108,567.3790443605303,3325.1962540031723,5212.841508476064,178.8432664424181,812.2821492006382,5321.568408439309,13859.805395334959,10773.092210233212,5511.394707083702,568.1746646848585,5332.865912712862,745.5082319378853
21,3294.9994605695897,10425.334850694382,2628.280595676001,201.65050444142386,2329.969394521957,696.4815271370339,489.05576478922245,2838.4122224267794,3996.2626507234168,139.82166057300162,622.7139328773196,3805.4050298718344,10724.505505128616,7789.034894020608,4798.999837445942,460.0453587813585,4727.754119516332,602.0429110671535,3663.069140927697,11751.772732915388,3686.5686628524036,225.00739143043756,2412.081839450635,939.2917391806841,562.1176994558293,3279.3246085972837,5124.030479637906,177.32811450958252,807.0315350790819,5160.879538893452,13434.966882318258,9624.616792142391,5303.90044438839,560.8829864350225,5189.188964076091,714.1174402832985
22,3260.4348304186597,10220.155592380337,2543.9661750871896,201.25105232948607,2300.7048284905877,725.3979170358542,484.3988301079586,2800.9863558771144,3923.6338720092945,140.0839121776887,621.6956208782586,3721.7479335220023,10412.884519582045,7462.373949363715,4592.263426437974,452.76681925381223,4645.651730761212,580.8521076657555,3631.9059985296976,11541.47683039795,3638.056329260625,223.54823327809572,2386.71484450344,946.2439355999231,558.6339550183335,3257.6007794768857,5113.087353257462,178.08202020823956,815.7664569516977,5120.745632702858,13159.139922589064,8998.423032104969,5072.062002539635,553.8394365993406,5013.053841270259,768.0159297585487
23,3229.2469388215377,10012.814138089954,2452.9998151178484,200.07602728903294,2270.7904231771827,697.6886508500937,484.3352384001221,2760.543018225298,3797.3908627852115,138.43634162182835,621.1253533645518,3611.75688275302,10125.636701155392,7062.624240581173,4245.347581043839,444.81243388108686,4507.834116506406,558.6473992773981,3599.8886936646754,11328.408401743725,3518.1165088290973,222.82151068001986,2358.2218816662207,906.1388607174158,556.519974602125,3212.80957064343,5061.35180170151,181.1774180829525,821.1134671171507,4937.910793507845,12763.949242204428,8514.179062664509,4830.121745467186,545.3726006236936,4851.171563863009,755.4130054116249
24,3196.5472766241564,9784.573372875311,2324.1309078461163,198.82948610322043,2231.6410839781165,677.0631917209337,479.233189098151,2716.4019140978767,3631.1427279816203,136.97319151071662,618.6453305710853,3433.8919219001227,9923.899642775958,6693.774703598723,4086.353459405628,440.37266325839994,4290.286413930659,566.9959661238121,3564.824746213561,11105.474583775955,3410.802471732597,220.6840859428048,2315.904701807536,840.4816869646311,551.2297962621966,3165.3039335341505,4848.784713539606,180.16634261608124,820.3870074947675,4828.604413891584,12343.70857283473,8107.6493465304375,4720.633057951927,535.3168584741419,4613.759342971693,719.7457237839699
25,3164.0643268159165,9597.305400424044,2296.342754959957,198.63317405500194,2208.75177098472,674.5822956742663,477.89035967021516,2677.095942399549,3572.5021776427598,136.0917534396391,617.6182728475197,3381.7570886220446,9689.710320781178,6590.245787499868,4218.838692712513,431.93610433920315,4180.390987256337,545.4252736387831,3533.1786128801164,10923.811768711763,3274.0476638232667,218.65717197209597,2290.5945077920333,856.114002302289,548.098502533249,3116.771590543911,4782.352828267341,181.26602314412594,807.6042233904203,4764.338388561954,11961.668289870024,7719.5706686377525,4769.038022398949,528.3309544957941,4522.908325621735,740.7922530770302
26,3132.8762884766084,9380.678748443383,2233.523336060016,197.48775551942262,2175.7035765979776,655.0009186881962,474.50050547161135,2632.932995514267,3470.8677174492313,135.15749831650066,611.2595924285732,3249.5875358307453,9421.351568357111,6466.086877138663,4082.4452545466747,426.91058980698386,4073.250590562356,523.273477471236,3496.6351011003994,10735.518907538211,3135.6404593939583,215.7311912253499,2260.6983924889937,866.3559368401766,543.5566759969909,3079.6383603643626,4627.057858052974,181.31017485260963,803.7656031151613,4630.100139717013,11562.769071727991,7422.2181196808815,4703.269673705101,522.8155365325277,4380.340456733356,781.2952870329221
27,3094.9303569263807,9164.412189091809,2137.7274746713183,195.8011433902112,2135.3596519563685,637.3867835528923,471.4442122709099,2590.3549483741886,3320.934282720811,133.89915478788316,608.5481394459308,3162.067023710455,9089.214754358889,6245.528878134647,4009.048341408372,417.72585260689715,3906.931393093309,519.2121317206006,3461.0235595088147,10502.459494611776,3030.456669425467,214.71472788602114,2235.964168676175,824.0351215749979,539.1088924523312,3034.3413183819503,4516.805035653835,174.98000364005566,797.2046392460663,4500.085227618367,11128.340501517057,7146.032816231251,4642.221274733543,511.93908793104345,4176.769389406096,802.3135484655697
28,3064.4293224754656,8971.016188795933,2081.6681093583375,194.32791612771425,2095.885190823539,621.0977339925189,468.73997530562207,2547.6935222634875,3295.220400118466,133.59028606404635,605.984286138727,3087.2454622890464,8942.037030192538,6135.212744202013,4232.470401941376,412.8306572040148,3745.770449803591,535.3189013979652,3426.15945561879,10276.053862026489,2959.4168135081727,214.08768410235643,2206.32079023961,815.4522965103388,538.1930737372357,3004.8961670529097,4417.520423177009,173.74499079585075,793.7261886497338,4397.516054057827,11006.908641070127,6959.739174306393,4893.021512389183,502.4702040441101,4042.4313888701304,846.6906247337658
29,3028.8240100330922,8768.162801658904,1989.0815610877362,193.8002238097516,2058.449016864327,600.8481987353528,465.08935096579756,2508.104545869441,3188.176808337371,132.9230986821719,602.2971025201815,3021.7353732086044,8743.96228434241,6014.778983559007,4043.6245025328612,406.3739783041631,3632.3048332747785,525.3381865277435,3394.2125764218167,10079.716856828487,2788.8834617689254,211.39633030444384,2179.4082110309973,793.4938452094793,535.7259684678037,2966.129985583946,4283.90203905416,173.14494740217924,788.9032252033551,4242.549947742373,10721.92532786727,6765.2745832800865,4761.18606698513,498.0141170210903,3927.844766353816,827.4367789626122
